Identificador,Fecha del pedido,Identificador cliente,Cantidad,id producto
1,2024-12-02,50,3,20
2,2024-12-02,33,2,2
3,2024-12-02,20,8,20
4,2024-12-02,58,3,3
5,2024-12-02,30,2,14
6,2024-12-02,32,11,19
7,2024-12-02,53,3,19
8,2024-12-02,49,17,17
9,2024-12-02,47,8,11
10,2024-12-02,24,9,9
11,2024-12-02,22,16,7
12,2024-12-02,7,7,11
13,2024-12-02,52,18,8
14,2024-12-02,45,5,9
15,2024-12-02,55,19,13
16,2024-12-02,60,19,5
17,2024-12-02,17,16,10
18,2024-12-02,1,8,15
19,2024-12-02,26,16,11
20,2024-12-02,56,14,3
21,2024-12-02,55,7,1
22,2024-12-02,36,4,15
23,2024-12-02,36,4,20
24,2024-12-02,7,14,19
25,2024-12-02,61,12,4
26,2024-12-02,20,14,3
27,2024-12-02,55,14,18
28,2024-12-02,21,15,7
29,2024-12-02,12,2,17
30,2024-12-02,47,4,9
31,2024-12-02,6,2,5
32,2024-12-02,34,13,12
33,2024-12-02,13,11,3
34,2024-12-02,46,4,8
35,2024-12-02,10,8,12
36,2024-12-02,34,7,10
37,2024-12-02,18,7,6
38,2024-12-02,47,18,15
39,2024-12-02,38,15,18
40,2024-12-02,47,5,10
41,2024-12-02,21,14,20
42,2024-12-02,5,6,17
43,2024-12-02,45,9,1
44,2024-12-02,57,15,18
45,2024-12-02,48,8,10
46,2024-12-02,66,3,4
47,2024-12-02,17,15,5
48,2024-12-02,1,18,9
49,2024-12-02,10,4,4
50,2024-12-02,2,2,4
51,2024-12-02,29,18,18
52,2024-12-02,4,1,5
53,2024-12-02,5,3,9
54,2024-12-02,52,8,10
55,2024-12-02,40,6,20
56,2024-12-02,14,14,7
57,2024-12-02,34,16,11
58,2024-12-02,59,16,7
59,2024-12-02,50,7,9
60,2024-12-02,38,13,17
61,2024-12-02,52,2,16
62,2024-12-02,32,6,9
63,2024-12-02,13,13,2
64,2024-12-02,61,1,3
65,2024-12-02,27,13,14
66,2024-12-02,66,9,9
67,2024-12-02,56,15,2
68,2024-12-02,16,10,1
69,2024-12-02,44,14,11
70,2024-12-02,54,18,5
71,2024-12-02,14,16,9
72,2024-12-02,9,5,6
73,2024-12-02,37,7,15
74,2024-12-02,26,10,18
75,2024-12-02,21,7,14
76,2024-12-02,65,2,18
77,2024-12-02,66,19,1
78,2024-12-02,66,18,4
79,2024-12-02,8,2,3
80,2024-12-02,11,11,5
81,2024-12-02,32,2,18
82,2024-12-02,9,2,2
83,2024-12-02,18,19,12
84,2024-12-02,60,16,19
85,2024-12-02,46,17,18
86,2024-12-02,56,17,5
87,2024-12-02,27,6,14
88,2024-12-02,51,2,5
89,2024-12-02,57,17,2
90,2024-12-02,8,3,10
91,2024-12-02,35,6,12
92,2024-12-02,26,3,2
93,2024-12-02,20,20,12
94,2024-12-02,9,3,7
95,2024-12-02,62,8,8
96,2024-12-02,41,13,4
97,2024-12-02,8,4,12
98,2024-12-02,26,19,18
99,2024-12-02,61,8,14
100,2024-12-02,30,19,20
