Identificador,Fecha del pedido,Identificador cliente,Cantidad,id producto
1,2024-12-01,50,4,8
2,2024-12-01,33,1,18
3,2024-12-01,20,9,18
4,2024-12-01,58,8,9
5,2024-12-01,30,8,19
6,2024-12-01,32,5,14
7,2024-12-01,53,4,19
8,2024-12-01,49,18,13
9,2024-12-01,47,3,12
10,2024-12-01,24,19,8
11,2024-12-01,22,14,5
12,2024-12-01,7,2,17
13,2024-12-01,52,1,16
14,2024-12-01,45,3,3
15,2024-12-01,55,7,2
16,2024-12-01,60,8,4
17,2024-12-01,17,17,5
18,2024-12-01,1,20,6
19,2024-12-01,26,1,14
20,2024-12-01,56,18,20
21,2024-12-01,55,7,3
22,2024-12-01,36,18,13
23,2024-12-01,36,14,13
24,2024-12-01,7,8,20
25,2024-12-01,61,15,15
26,2024-12-01,20,19,17
27,2024-12-01,55,9,9
28,2024-12-01,21,1,18
29,2024-12-01,12,6,1
30,2024-12-01,47,14,4
31,2024-12-01,6,11,18
32,2024-12-01,34,9,9
33,2024-12-01,13,5,11
34,2024-12-01,46,7,4
35,2024-12-01,10,11,10
36,2024-12-01,34,4,14
37,2024-12-01,18,3,6
38,2024-12-01,47,13,15
39,2024-12-01,38,4,1
40,2024-12-01,47,12,9
41,2024-12-01,21,12,17
42,2024-12-01,5,20,6
43,2024-12-01,45,9,17
44,2024-12-01,57,2,4
45,2024-12-01,48,15,10
46,2024-12-01,66,18,17
47,2024-12-01,17,4,20
48,2024-12-01,1,13,7
49,2024-12-01,10,3,5
50,2024-12-01,2,18,12
51,2024-12-01,29,10,6
52,2024-12-01,4,20,18
53,2024-12-01,5,12,17
54,2024-12-01,52,19,1
55,2024-12-01,40,7,20
56,2024-12-01,14,3,11
57,2024-12-01,34,2,16
58,2024-12-01,59,8,1
59,2024-12-01,50,10,4
60,2024-12-01,38,3,12
61,2024-12-01,52,8,10
62,2024-12-01,32,4,8
63,2024-12-01,13,13,2
64,2024-12-01,61,9,8
65,2024-12-01,27,15,19
66,2024-12-01,66,12,3
67,2024-12-01,56,6,3
68,2024-12-01,16,12,16
69,2024-12-01,44,12,3
70,2024-12-01,54,7,18
71,2024-12-01,14,9,5
72,2024-12-01,9,3,5
73,2024-12-01,37,20,16
74,2024-12-01,26,6,18
75,2024-12-01,21,18,6
76,2024-12-01,65,8,9
77,2024-12-01,66,6,17
78,2024-12-01,66,15,20
79,2024-12-01,8,13,14
80,2024-12-01,11,9,7
81,2024-12-01,32,18,18
82,2024-12-01,9,8,7
83,2024-12-01,18,11,10
84,2024-12-01,60,2,13
85,2024-12-01,46,8,12
86,2024-12-01,56,2,15
87,2024-12-01,27,11,17
88,2024-12-01,51,13,15
89,2024-12-01,57,9,4
90,2024-12-01,8,3,8
91,2024-12-01,35,7,8
92,2024-12-01,26,19,3
93,2024-12-01,20,11,11
94,2024-12-01,9,7,1
95,2024-12-01,62,16,19
96,2024-12-01,41,13,18
97,2024-12-01,8,15,8
98,2024-12-01,26,5,19
99,2024-12-01,61,9,8
100,2024-12-01,30,5,1
