Identificador,Fecha del pedido,Identificador cliente,Cantidad,id producto
1,2024-12-08,50,13,10
2,2024-12-08,33,3,11
3,2024-12-08,20,5,8
4,2024-12-08,58,1,11
5,2024-12-08,30,3,6
6,2024-12-08,32,17,3
7,2024-12-08,53,7,17
8,2024-12-08,49,13,4
9,2024-12-08,47,14,17
10,2024-12-08,24,15,17
11,2024-12-08,22,11,7
12,2024-12-08,7,6,12
13,2024-12-08,52,12,12
14,2024-12-08,45,10,5
15,2024-12-08,55,11,8
16,2024-12-08,60,19,4
17,2024-12-08,17,20,5
18,2024-12-08,1,3,9
19,2024-12-08,26,2,7
20,2024-12-08,56,5,6
21,2024-12-08,55,6,20
22,2024-12-08,36,20,5
23,2024-12-08,36,2,3
24,2024-12-08,7,3,6
25,2024-12-08,61,9,16
26,2024-12-08,20,15,15
27,2024-12-08,55,14,19
28,2024-12-08,21,16,19
29,2024-12-08,12,20,15
30,2024-12-08,47,15,19
31,2024-12-08,6,14,20
32,2024-12-08,34,9,11
33,2024-12-08,13,7,11
34,2024-12-08,46,17,5
35,2024-12-08,10,4,15
36,2024-12-08,34,12,3
37,2024-12-08,18,14,16
38,2024-12-08,47,4,15
39,2024-12-08,38,10,10
40,2024-12-08,47,19,9
41,2024-12-08,21,16,19
42,2024-12-08,5,17,2
43,2024-12-08,45,10,12
44,2024-12-08,57,2,17
45,2024-12-08,48,8,3
46,2024-12-08,66,13,10
47,2024-12-08,17,20,15
48,2024-12-08,1,2,15
49,2024-12-08,10,1,2
50,2024-12-08,2,7,2
51,2024-12-08,29,10,12
52,2024-12-08,4,7,10
53,2024-12-08,5,5,3
54,2024-12-08,52,9,3
55,2024-12-08,40,10,20
56,2024-12-08,14,11,20
57,2024-12-08,34,4,17
58,2024-12-08,59,1,13
59,2024-12-08,50,16,15
60,2024-12-08,38,14,19
61,2024-12-08,52,6,18
62,2024-12-08,32,5,2
63,2024-12-08,13,13,15
64,2024-12-08,61,18,19
65,2024-12-08,27,8,7
66,2024-12-08,66,17,11
67,2024-12-08,56,18,20
68,2024-12-08,16,12,16
69,2024-12-08,44,3,17
70,2024-12-08,54,13,5
71,2024-12-08,14,2,2
72,2024-12-08,9,14,15
73,2024-12-08,37,1,4
74,2024-12-08,26,15,11
75,2024-12-08,21,3,3
76,2024-12-08,65,11,17
77,2024-12-08,66,19,6
78,2024-12-08,66,14,2
79,2024-12-08,8,19,8
80,2024-12-08,11,13,15
81,2024-12-08,32,14,15
82,2024-12-08,9,10,17
83,2024-12-08,18,4,17
84,2024-12-08,60,13,20
85,2024-12-08,46,1,6
86,2024-12-08,56,11,12
87,2024-12-08,27,6,12
88,2024-12-08,51,20,10
89,2024-12-08,57,15,13
90,2024-12-08,8,12,14
91,2024-12-08,35,3,11
92,2024-12-08,26,14,20
93,2024-12-08,20,4,2
94,2024-12-08,9,8,11
95,2024-12-08,62,14,3
96,2024-12-08,41,19,11
97,2024-12-08,8,13,4
98,2024-12-08,26,17,18
99,2024-12-08,61,3,13
100,2024-12-08,30,13,10
