Identificador,Fecha del pedido,Identificador cliente,Cantidad,id producto
1,2024-12-09,50,9,14
2,2024-12-09,33,20,2
3,2024-12-09,20,5,13
4,2024-12-09,58,11,17
5,2024-12-09,30,3,12
6,2024-12-09,32,19,8
7,2024-12-09,53,5,13
8,2024-12-09,49,12,3
9,2024-12-09,47,10,12
10,2024-12-09,24,13,8
11,2024-12-09,22,5,1
12,2024-12-09,7,20,11
13,2024-12-09,52,3,4
14,2024-12-09,45,10,11
15,2024-12-09,55,18,5
16,2024-12-09,60,13,5
17,2024-12-09,17,11,2
18,2024-12-09,1,5,10
19,2024-12-09,26,17,16
20,2024-12-09,56,3,5
21,2024-12-09,55,14,16
22,2024-12-09,36,17,15
23,2024-12-09,36,12,20
24,2024-12-09,7,1,1
25,2024-12-09,61,12,3
26,2024-12-09,20,10,1
27,2024-12-09,55,6,9
28,2024-12-09,21,7,7
29,2024-12-09,12,11,5
30,2024-12-09,47,16,18
31,2024-12-09,6,7,20
32,2024-12-09,34,8,17
33,2024-12-09,13,5,14
34,2024-12-09,46,5,4
35,2024-12-09,10,3,10
36,2024-12-09,34,10,8
37,2024-12-09,18,4,10
38,2024-12-09,47,17,4
39,2024-12-09,38,18,2
40,2024-12-09,47,17,8
41,2024-12-09,21,2,14
42,2024-12-09,5,11,20
43,2024-12-09,45,20,15
44,2024-12-09,57,5,3
45,2024-12-09,48,20,4
46,2024-12-09,66,13,16
47,2024-12-09,17,5,20
48,2024-12-09,1,6,18
49,2024-12-09,10,6,1
50,2024-12-09,2,20,17
51,2024-12-09,29,6,19
52,2024-12-09,4,15,8
53,2024-12-09,5,2,5
54,2024-12-09,52,14,10
55,2024-12-09,40,12,14
56,2024-12-09,14,8,1
57,2024-12-09,34,15,20
58,2024-12-09,59,20,12
59,2024-12-09,50,10,8
60,2024-12-09,38,15,19
61,2024-12-09,52,8,14
62,2024-12-09,32,18,6
63,2024-12-09,13,8,3
64,2024-12-09,61,10,17
65,2024-12-09,27,16,12
66,2024-12-09,66,7,3
67,2024-12-09,56,12,17
68,2024-12-09,16,19,18
69,2024-12-09,44,15,17
70,2024-12-09,54,15,17
71,2024-12-09,14,10,18
72,2024-12-09,9,13,1
73,2024-12-09,37,17,13
74,2024-12-09,26,17,16
75,2024-12-09,21,14,2
76,2024-12-09,65,6,13
77,2024-12-09,66,7,12
78,2024-12-09,66,20,9
79,2024-12-09,8,5,1
80,2024-12-09,11,9,12
81,2024-12-09,32,2,3
82,2024-12-09,9,16,12
83,2024-12-09,18,12,8
84,2024-12-09,60,18,4
85,2024-12-09,46,4,19
86,2024-12-09,56,17,11
87,2024-12-09,27,4,5
88,2024-12-09,51,10,2
89,2024-12-09,57,3,12
90,2024-12-09,8,6,18
91,2024-12-09,35,9,11
92,2024-12-09,26,15,6
93,2024-12-09,20,17,15
94,2024-12-09,9,5,16
95,2024-12-09,62,14,6
96,2024-12-09,41,3,5
97,2024-12-09,8,8,3
98,2024-12-09,26,15,15
99,2024-12-09,61,12,2
100,2024-12-09,30,1,10
