Identificador,Fecha del pedido,Identificador cliente,Cantidad,id producto
1,2024-12-04,50,8,6
2,2024-12-04,33,16,17
3,2024-12-04,20,8,9
4,2024-12-04,58,9,20
5,2024-12-04,30,14,18
6,2024-12-04,32,16,16
7,2024-12-04,53,1,15
8,2024-12-04,49,13,14
9,2024-12-04,47,11,19
10,2024-12-04,24,13,9
11,2024-12-04,22,6,11
12,2024-12-04,7,15,8
13,2024-12-04,52,5,3
14,2024-12-04,45,20,9
15,2024-12-04,55,18,15
16,2024-12-04,60,1,8
17,2024-12-04,17,13,15
18,2024-12-04,1,19,19
19,2024-12-04,26,19,20
20,2024-12-04,56,1,13
21,2024-12-04,55,3,11
22,2024-12-04,36,14,1
23,2024-12-04,36,5,16
24,2024-12-04,7,15,11
25,2024-12-04,61,6,6
26,2024-12-04,20,2,16
27,2024-12-04,55,9,7
28,2024-12-04,21,13,12
29,2024-12-04,12,11,9
30,2024-12-04,47,7,11
31,2024-12-04,6,15,9
32,2024-12-04,34,11,20
33,2024-12-04,13,11,9
34,2024-12-04,46,13,18
35,2024-12-04,10,9,1
36,2024-12-04,34,14,17
37,2024-12-04,18,9,7
38,2024-12-04,47,3,3
39,2024-12-04,38,16,8
40,2024-12-04,47,1,14
41,2024-12-04,21,18,16
42,2024-12-04,5,2,18
43,2024-12-04,45,12,8
44,2024-12-04,57,8,16
45,2024-12-04,48,3,16
46,2024-12-04,66,2,15
47,2024-12-04,17,1,1
48,2024-12-04,1,8,3
49,2024-12-04,10,7,10
50,2024-12-04,2,1,8
51,2024-12-04,29,20,13
52,2024-12-04,4,5,8
53,2024-12-04,5,8,10
54,2024-12-04,52,5,19
55,2024-12-04,40,16,12
56,2024-12-04,14,4,16
57,2024-12-04,34,19,18
58,2024-12-04,59,7,17
59,2024-12-04,50,15,12
60,2024-12-04,38,9,14
61,2024-12-04,52,12,18
62,2024-12-04,32,6,11
63,2024-12-04,13,20,12
64,2024-12-04,61,20,15
65,2024-12-04,27,4,9
66,2024-12-04,66,6,10
67,2024-12-04,56,10,9
68,2024-12-04,16,4,8
69,2024-12-04,44,19,4
70,2024-12-04,54,1,7
71,2024-12-04,14,10,11
72,2024-12-04,9,19,4
73,2024-12-04,37,13,18
74,2024-12-04,26,13,6
75,2024-12-04,21,7,7
76,2024-12-04,65,3,7
77,2024-12-04,66,19,16
78,2024-12-04,66,8,9
79,2024-12-04,8,4,19
80,2024-12-04,11,10,17
81,2024-12-04,32,20,20
82,2024-12-04,9,4,10
83,2024-12-04,18,19,4
84,2024-12-04,60,2,7
85,2024-12-04,46,12,10
86,2024-12-04,56,18,8
87,2024-12-04,27,14,12
88,2024-12-04,51,12,6
89,2024-12-04,57,3,10
90,2024-12-04,8,17,1
91,2024-12-04,35,11,18
92,2024-12-04,26,1,5
93,2024-12-04,20,14,9
94,2024-12-04,9,16,2
95,2024-12-04,62,4,2
96,2024-12-04,41,14,18
97,2024-12-04,8,12,10
98,2024-12-04,26,15,5
99,2024-12-04,61,5,16
100,2024-12-04,30,14,4
