Identificador,Fecha del pedido,Identificador cliente,Cantidad,id producto
1,2024-12-07,50,2,14
2,2024-12-07,33,2,4
3,2024-12-07,20,10,16
4,2024-12-07,58,16,15
5,2024-12-07,30,4,3
6,2024-12-07,32,4,3
7,2024-12-07,53,8,11
8,2024-12-07,49,18,20
9,2024-12-07,47,5,5
10,2024-12-07,24,13,3
11,2024-12-07,22,15,5
12,2024-12-07,7,12,9
13,2024-12-07,52,18,20
14,2024-12-07,45,14,19
15,2024-12-07,55,19,18
16,2024-12-07,60,5,11
17,2024-12-07,17,14,13
18,2024-12-07,1,4,20
19,2024-12-07,26,16,17
20,2024-12-07,56,20,10
21,2024-12-07,55,14,15
22,2024-12-07,36,9,17
23,2024-12-07,36,2,20
24,2024-12-07,7,12,14
25,2024-12-07,61,7,4
26,2024-12-07,20,15,4
27,2024-12-07,55,15,18
28,2024-12-07,21,8,7
29,2024-12-07,12,12,14
30,2024-12-07,47,4,15
31,2024-12-07,6,12,8
32,2024-12-07,34,18,14
33,2024-12-07,13,12,11
34,2024-12-07,46,2,15
35,2024-12-07,10,13,13
36,2024-12-07,34,9,14
37,2024-12-07,18,7,4
38,2024-12-07,47,4,11
39,2024-12-07,38,15,14
40,2024-12-07,47,3,11
41,2024-12-07,21,7,9
42,2024-12-07,5,20,12
43,2024-12-07,45,1,5
44,2024-12-07,57,2,16
45,2024-12-07,48,11,3
46,2024-12-07,66,8,3
47,2024-12-07,17,5,3
48,2024-12-07,1,19,3
49,2024-12-07,10,7,14
50,2024-12-07,2,3,4
51,2024-12-07,29,18,12
52,2024-12-07,4,7,5
53,2024-12-07,5,19,18
54,2024-12-07,52,7,2
55,2024-12-07,40,8,19
56,2024-12-07,14,11,18
57,2024-12-07,34,5,18
58,2024-12-07,59,20,11
59,2024-12-07,50,1,4
60,2024-12-07,38,9,14
61,2024-12-07,52,5,12
62,2024-12-07,32,5,14
63,2024-12-07,13,18,2
64,2024-12-07,61,9,10
65,2024-12-07,27,6,20
66,2024-12-07,66,4,10
67,2024-12-07,56,1,12
68,2024-12-07,16,5,4
69,2024-12-07,44,1,19
70,2024-12-07,54,12,17
71,2024-12-07,14,8,7
72,2024-12-07,9,19,5
73,2024-12-07,37,11,16
74,2024-12-07,26,1,8
75,2024-12-07,21,6,4
76,2024-12-07,65,9,12
77,2024-12-07,66,2,18
78,2024-12-07,66,5,12
79,2024-12-07,8,14,4
80,2024-12-07,11,17,9
81,2024-12-07,32,4,19
82,2024-12-07,9,3,8
83,2024-12-07,18,16,14
84,2024-12-07,60,15,18
85,2024-12-07,46,12,20
86,2024-12-07,56,17,20
87,2024-12-07,27,19,18
88,2024-12-07,51,4,1
89,2024-12-07,57,15,20
90,2024-12-07,8,17,9
91,2024-12-07,35,8,1
92,2024-12-07,26,20,6
93,2024-12-07,20,2,9
94,2024-12-07,9,17,10
95,2024-12-07,62,10,11
96,2024-12-07,41,15,12
97,2024-12-07,8,1,1
98,2024-12-07,26,2,6
99,2024-12-07,61,16,5
100,2024-12-07,30,13,19
